"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C4","3","47Î¼F","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","C3, C5","2","100NF","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm",""
"3","D1, D2","2","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"4","J1","1","Analog IN","Connector_JST:JST_NV_B02P-NV_1x06_P5.00mm_Vertical",""
"5","J2","1","Power","Connector_JST:JST_NV_B02P-NV_1x04_P5.00mm_Vertical",""
"6","J3","1","DIGITAL","Connector_JST:JST_NV_B02P-NV_1x08_P5.00mm_Vertical",""
"7","J4","1","LDR","Connector_JST:JST_NV_B02P-NV_1x02_P5.00mm_Vertical",""
"8","J5","1","Micro","Connector_JST:JST_NV_B02P-NV_1x02_P5.00mm_Vertical",""
"9","J6","1","Taste","Connector_JST:JST_NV_B02P-NV_1x02_P5.00mm_Vertical",""
"10","J7","1","Conn_01x03_Pin","Connector_JST:JST_NV_B02P-NV_1x03_P5.00mm_Vertical",""
"11","Q1, Q2, Q3, Q4","4","BC547","TO_SOT_THT:TO-92_Inline_Wide",""
"12","R1, R2, R5, R6","4","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"13","R3, R4","2","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"14","R7, R10, R12","3","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"15","R8","1","4k7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"16","R9","1","160k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"17","R11, R13","2","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"18","R14","1","0,22","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"19","RV1","1","10k","Potentiometer_THT:Potentiometer_Piher_PT-10-V10_Vertical_Hole",""
